persona,flow_count,avg_pkt_size_med,avg_pkt_size_mean,total_pkts_med,total_bytes_med,duration_med_s,udp_pct
web_interactive,1517839,134.5,259.6,10.0,1931.0,0.66,34.27
system,487270,106.0,111.16,2.0,215.0,0.0,98.05
unknown,265021,48.0,82.36,2.0,92.0,0.14,12.52
bulk_dl,203891,146.33,387.14,10.0,1458.0,0.94,3.02
torrent,70830,132.0,144.76,2.0,371.0,0.28,87.51
video_live,56362,324.28,739.89,23.0,6978.0,4.0,39.69
file_sync,49632,84.0,185.05,2.0,197.0,0.01,55.29
voip_call,46994,40.0,128.65,2.0,80.0,0.2,77.84
video_vod,4128,199.23,257.78,15.0,4323.5,1.92,39.22
game_rt,1471,95.0,95.22,2.0,190.0,0.1,98.3
game_launcher,1385,516.61,558.51,24.0,10987.0,0.54,0.0
video_conf,16,80.0,162.2,5.0,248.5,8.61,31.25
